"BeginPlaguePeriod","EndPlaguePeriod","ParishName","VictimsNumber","SkåneRegion"
"Nov 1710","Apr 1711","Näsum",671,"Northeast"
"Feb 1712","Undefined","Näsum","?","Northeast"
"Nov 1710","Aug 1711","Ivö",123,"Northeast"
"Dec 1710","Sep 1711","Kiaby",296,"Northeast"
"Dec 1710","Sep 1711","Oppmanna",400,"Northeast"
"Feb 1712","Undefined","Oppmanna","?","Northeast"
"Dec 1710","Feb 1711","Vånga",100,"Northeast"
"Sep 1711","Oct 1711","Vånga","?","Northeast"
"Mar 1712","Undefined","Vånga","?","Northeast"
"Dec 1710","Mar 1711","Österlöv","?","Northeast"
"Jun 1711","Sep 1711","Österlöv",167,"Northeast"
"Dec 1710","Dec 1710","Ivetofta",9,"Northeast"
"Aug 1711","Feb 1712","Ivetofta",30,"Northeast"
"Dec 1710","Aug 1711","Gualöv",124,"Northeast"
"Dec 1710","Mar 1711","Västra Ljungby","?","Northeast"
"Jun 1711","Sep 1711","Västra Ljungby","?","Northeast"
"Dec 1710","Dec 1710","Emitslöv",4,"Northeast"
"Dec 1710","Jan 1711","Västra Vram",18,"Northeast"
"May 1711","Oct 1711","Nosaby","?","Northeast"
"May 1711","Sep 1711","Åhus",10,"Northeast"
"Jun 1711","Sep 1711","Fjälkestad",52,"Northeast"
"Jun 1711","Dec 1711","Fjälkinge",30,"Northeast"
"Jun 1711","Oct 1711","Glimåkra",5,"Northeast"
"Jul 1711","Jan 1712","Rinkaby",49,"Northeast"
"Sep 1711","Oct 1711","Ö. Broby",3,"Northeast"
"Oct 1711","Mar 1712","Färlov",26,"Northeast"
"Oct 1711","Jan 1712","Hästveda",12,"Northeast"
"Oct 1711","Feb 1712","N. Åsum","?","Northeast"
"Oct 1711","Undefined","Skepparslöv",5,"Northeast"
"Oct 1711","Mar 1712","Träne",40,"Northeast"
"Nov 1711","Jan 1712","Stoby","?","Northeast"
"Nov 1711","Jan 1712","Vä",55,"Northeast"
"Dec 1711","Mar 1712","N. Mellby",30,"Northeast"
"Dec 1711","Mar 1712","Vinslöv","?","Northeast"
"Feb 1712","Feb 1712","Kristianstad",2,"Northeast"
"1711","Undefined","Örkened","?","Northeast"
"Jan 1711","Jul 1711","Norra Rörum",45,"Middle Skåne"
"Dec 1711","Mar 1712","Hörby",76,"Middle Skåne"
"Mar 1712","Undefined","Hurva","?","Middle Skåne"
"Jul 1712","Oct 1712","Skarlovta",7,"Middle Skåne"
"Jul 1712","Dec 1712","S. Åsum",45,"Middle Skåne"
"Aug 1712","Sep 1712","Ramsåsa",5,"Middle Skåne"
"Aug 1712","Undefined","Sövde","?","Middle Skåne"
"Aug 1712","Nov 1712","Övde",32,"Middle Skåne"
