Region,ParishName,BEF1699,BeginPlaguePeriod,EndPlaguePeriod,VictimsNumber,geometry,centroid
SOUTHEAST,ELJARÖD,320,JAN 1713,UNDEFINED,3,"POLYGON ((4244692.077621438 3203779.020550321, 4244526.29572811 3203785.143807671, 4244377.505803983 3203821.801031623, 4244225.443890752 3203294.2668023813, 4244248.735152629 3203004.4534997414, 4243970.568791582 3202836.2558100577, 4243744.4977834765 3202866.700117918, 4243666.690756369 3203229.9135604454, 4243473.641861102 3203817.215794593, 4243301.463256376 3204386.753995766, 4242878.386373895 3204206.899704973, 4242644.790398328 3204693.7173637673, 4243109.9598284485 3204954.7429460785, 4243173.701541235 3205008.4823863455, 4243335.945209419 3205167.3709986177, 4243490.0820137495 3205306.161705714, 4243507.415966836 3205453.402357907, 4243554.166593595 3205476.606588753, 4243614.118355495 3205335.578179236, 4243722.281952778 3205441.5038901325, 4243789.473288774 3205573.3059033807, 4243880.645469077 3205648.6964334105, 4244040.996398934 3205710.2007779097, 4244158.045617664 3205826.563858098, 4244295.193364718 3205934.8190671615, 4244442.435232629 3205917.4832118303, 4244566.129456144 3205830.191941412, 4244693.2730505485 3205820.9635292133, 4244733.813307913 3205921.453907279, 4244776.682835724 3205992.9618403194, 4244386.277165048 3206253.284049566, 4244443.809566317 3206384.3108298793, 4244436.045068348 3206480.9199464116, 4244451.828145737 3206647.4851222844, 4244440.181276768 3206792.3994084233, 4244320.187038772 3207317.542459745, 4244631.147451731 3207682.8564191656, 4244855.338015406 3207555.0218543117, 4245085.306918827 3207476.2684397288, 4245264.640930317 3207422.6156887542, 4245376.692114318 3207480.237388575, 4245622.100985012 3207451.340240977, 4245718.71190672 3207459.1033180584, 4245755.372921709 3207607.901434771, 4245793.586655374 3207737.3776023337, 4245901.757465542 3207843.304591176, 4246070.224457662 3207924.905718528, 4246263.447958468 3207940.4307625806, 4246426.911845973 3207963.2878163974, 4246931.193874993 3208101.037572981, 4247037.97663611 3207740.121036881, 4246973.88146966 3207569.6722542006, 4246776.777807973 3207602.455177715, 4246373.338625107 3207540.8720608368, 4246296.049630469 3207534.6623304044, 4246302.342570356 3207214.293518834, 4246406.715322176 3207125.4447890385, 4246572.505881785 3207119.3177317316, 4246670.668939004 3207107.7572081257, 4246725.1834921 3207034.3493873123, 4246713.622826364 3206936.1864945283, 4246688.520412177 3206885.5528126233, 4246674.631360195 3206816.3732391396, 4246682.39280173 3206719.7629555943, 4246765.890008215 3206648.683892873, 4247030.617932886 3206621.3337540734, 4247179.413565141 3206584.669845919, 4247380.394346819 3206503.5807415084, 4247870.429075653 3206455.4316736353, 4248054.414685974 3206343.8056019885, 4248293.61230255 3206392.186675012, 4248379.084955466 3206175.4147024914, 4248504.677913977 3206185.5011085276, 4248431.419008641 3205644.8377854996, 4248332.982629413 3205296.6201449153, 4248273.115290965 3205194.5804322087, 4248390.67186203 3204941.496371015, 4248746.570908159 3204989.523482111, 4248928.223787764 3204906.8792303614, 4248848.682637828 3204686.583513495, 4248791.142221795 3204555.5627914113, 4248723.165457415 3204433.4272790365, 4248596.097526379 3204199.5933252987, 4248456.617433422 3204120.331236019, 4248230.616725663 3203907.7217654777, 4248176.957237196 3203728.3990173833, 4248115.189044475 3203528.9796581673, 4248109.057139893 3203363.1976982793, 4248152.003880389 3203191.634731985, 4248275.688822602 3203104.3388873166, 4248458.888334699 3203002.376482763, 4248615.432981924 3202869.1047860417, 4248671.493115781 3202776.3781924145, 4248754.631388197 3202588.598014737, 4248813.018209297 3202466.8901605452, 4248310.673461938 3202426.551270121, 4248113.456796131 3201613.4516561637, 4247733.174676873 3201748.1967035485, 4247310.370338957 3201928.1379103917, 4247105.52405951 3202057.5250434307, 4246973.731519992 3202124.7207498774, 4246738.350924127 3202271.09988742, 4246628.554739448 3202427.566734209, 4246392.476855542 3202340.543059229, 4246035.042522029 3202311.828364856, 4245963.968347712 3202228.3365548854, 4245760.75397359 3202095.337713385, 4245685.799675346 3202060.1476241257, 4245585.315593237 3202100.6878498015, 4245525.371463261 3202241.7122627394, 4245452.315752109 3202303.9015725586, 4245307.410387593 3202292.258742761, 4245255.227588184 3202336.6795235532, 4245192.953879152 3202506.685154123, 4245129.127336969 3202696.0119211017, 4244942.043622136 3202846.266454327, 4244906.8521798635 3202921.221063992, 4244868.037948305 3203404.2443470713, 4244925.828343538 3203895.034044257, 4244692.077621438 3203779.020550321))",POINT (4246105.744419839 3204718.059444113)
SOUTHEAST,SÖDRA MELLBY,628,OCT 1711,NOV 1711,3,"POLYGON ((4257537.206067755 3204129.443134097, 4257600.960220818 3204183.169769261, 4257682.079604172 3204384.1350082373, 4257768.6210382525 3204517.473526657, 4257829.277684383 3204609.8444974273, 4260710.477140186 3202750.312368152, 4260957.327269546 3200154.683240037, 4260784.986129827 3200121.4308617488, 4260427.547908425 3200092.792832156, 4260014.46960829 3200030.5271117743, 4259772.958075253 3200011.1746720215, 4259505.932667233 3200067.5567429326, 4259133.416124425 3200105.761132972, 4258853.6678741 3199956.9487122786, 4258654.301162008 3199775.688180983, 4258439.85512731 3199661.275969241, 4258264.051263309 3199549.9606177397, 4258100.231322811 3199410.438399561, 4257951.454695113 3199447.1249346826, 4257845.55901779 3199555.3053698028, 4257756.660557302 3199694.0156188724, 4257626.797000929 3199858.6095036147, 4257547.965159095 3199871.7349486765, 4257404.608432268 3199840.7977598384, 4257315.74927131 3199736.4497039896, 4257211.442004619 3199582.2511425614, 4257118.711108472 3199526.204880498, 4256993.12702483 3199516.136660584, 4256910.464871759 3199334.5063550053, 4256827.394852208 3199279.2344617248, 4256657.382610461 3199216.9918536735, 4256396.555707502 3199196.0791878547, 4256180.566763927 3199100.9820249435, 4256012.469827486 3199136.1149846446, 4255761.303937599 3199115.974609163, 4255594.756215079 3199131.7860778393, 4255415.449462795 3199185.4633277846, 4255251.225752468 3199172.2932882933, 4255162.323050736 3199310.998852469, 4254901.496932118 3199290.0805071406, 4254820.341257937 3199332.1834138334, 4254652.193642389 3199610.3687476977, 4254580.69771257 3199653.2463183096, 4254295.539189785 3199572.0394376703, 4254096.1352658 3199633.823847027, 4253990.233917906 3199741.9978810884, 4253976.285457334 3199915.8827847335, 4253899.003213116 3199909.6833995115, 4253842.952452492 3200002.41160004, 4253733.175325881 3200158.8872436034, 4253543.790099656 3200338.1441221195, 4253466.092783535 3200458.30353375, 4253301.811952089 3200688.1872156737, 4253062.572026044 3200882.8894023374, 4253120.118906828 3201013.900133053, 4253385.185317775 3201103.2245351537, 4253493.360307005 3201209.1292919745, 4253607.321047959 3201364.1114538973, 4253742.153274461 3201501.3228369565, 4253946.934598557 3201614.9775644117, 4254132.395575431 3201727.082058553, 4254359.960641224 3201920.345473761, 4254427.946272151 3202042.4718345036, 4254659.387674277 3202187.4322674265, 4254843.301759004 3202318.8573859907, 4254889.280395136 3202351.713641185, 4254815.819077539 3202540.277679546, 4255061.523021107 3202871.11627991, 4255215.682611009 3203009.8782045622, 4255198.636191845 3203222.4150584806, 4255161.493120491 3203443.0636644755, 4255096.1420813715 3203651.727497189, 4255057.086208437 3203774.9938791664, 4255096.092002438 3203894.798615531, 4255159.843768329 3203948.527096501, 4255302.4324547835 3203989.1326237717, 4255499.524413368 3203956.324849314, 4255798.648612176 3203863.6381000583, 4255897.581768269 3203842.4031188088, 4256302.928997488 3204001.308463047, 4256567.692168956 3203730.848445687, 4256749.334596784 3203648.1832724498, 4256862.941341465 3203686.4614799256, 4257032.964434318 3203748.7089574533, 4257121.827612317 3203853.0640441105, 4257266.741465042 3203864.682736409, 4257371.054262384 3204018.8916207007, 4257537.206067755 3204129.443134097))",POINT (4257271.750092611 3201592.5498128883)
SOUTHEAST,BALDRINGE,235,AUG 1712,UNDEFINED,?,"POLYGON ((4233715.236224047 3189888.314323887, 4233917.612234976 3190030.974304662, 4233962.228986998 3190442.842596013, 4233998.860065576 3190591.60483482, 4234172.593470811 3190848.6119617186, 4234561.0471019205 3190491.037624413, 4235256.564170345 3190303.985714142, 4235748.920079012 3189983.9301003935, 4236038.447291592 3189647.553581717, 4236227.722082936 3188865.6780046974, 4236332.074168759 3188776.8660470583, 4236484.824874717 3188448.930551709, 4236685.864545896 3188124.880682986, 4236846.274496055 3187943.372152427, 4237051.089673257 3187814.0383814997, 4237286.977266275 3187298.381893237, 4237541.736807334 3186910.611846602, 4237669.38667424 3186532.0609113714, 4237781.500552793 3186346.6696537314, 4237864.977555206 3186275.6200465267, 4237633.627541268 3186130.649391701, 4237452.121335657 3185970.2464983608, 4237062.02790954 3185744.4652836714, 4236823.709821683 3186532.084882596, 4236588.477342041 3186435.399919492, 4236202.162198275 3186404.3235002398, 4236047.301936619 3186275.2211148334, 4236020.767393994 3186000.917113786, 4235964.482624533 3185733.9411499067, 4235794.63623162 3185428.6696192967, 4235777.425854231 3185038.4768735277, 4235489.802190023 3184626.5316005275, 4235324.068976752 3184632.6380945244, 4235232.822029997 3184800.2590877092, 4235238.4844294 3185092.319397468, 4235138.022677079 3185132.8374177427, 4234909.6800324 3185192.2265029782, 4234708.755909015 3185273.261468606, 4234595.1952942535 3185234.9631972006, 4234419.026131718 3185249.947901408, 4234258.731893457 3185188.4481474026, 4234109.981470266 3185225.078827278, 4233517.310528631 3185342.6254147734, 4233271.983333361 3185371.4815755533, 4233163.747356958 3185508.573089895, 4232972.241780669 3186076.3738878234, 4232823.369952604 3186355.999970657, 4232871.091096787 3186729.2146069966, 4232749.6357159205 3187030.490721328, 4232481.099673595 3187106.078077568, 4232415.499074603 3186954.990924762, 4231951.351555763 3187287.0007203436, 4231537.168945361 3187360.5789312487, 4231469.31456324 3187841.1396900243, 4231212.313866625 3188014.8566813883, 4231517.103906488 3188817.046124933, 4231943.939966031 3188948.6200029515, 4232098.796196971 3189077.736101089, 4232355.226968362 3189273.354137045, 4233197.818075784 3189312.0223098514, 4233417.623675922 3189358.8777218894, 4233603.0133620715 3189471.00772407, 4233687.934585454 3189623.6548209474, 4233715.236224047 3189888.314323887))",POINT (4234524.376012389 3187670.6848119795)
SOUTHEAST,BJÄRESJÖ,376,JUL 1712,UNDEFINED,?,"POLYGON ((4228840.23212816 3178726.0422251667, 4228969.52800742 3178930.8389639943, 4229075.623071717 3179182.364156309, 4229382.303254309 3179236.218070481, 4229548.347503 3179346.7815641733, 4229785.87706265 3179414.504321682, 4229830.272840987 3179466.6756501505, 4229826.259586718 3179757.9328302415, 4230145.585628842 3180016.9096137756, 4230390.893220512 3179988.0634070444, 4230524.2064740965 3179901.602687684, 4230640.08806802 3179910.9322915496, 4230755.519737151 3180046.5777972615, 4230806.013731297 3180264.4704701924, 4231028.121523653 3180282.3514803723, 4231541.370616989 3180547.2165653333, 4231688.556481978 3180529.906063677, 4231742.28243065 3180466.194297057, 4232109.693275016 3180369.4146596347, 4232069.181533916 3180268.959156463, 4232014.797101607 3180099.351045349, 4232042.001706574 3179761.3610786153, 4231996.04937005 3179728.504239913, 4231895.594707363 3179769.015594636, 4231872.065247555 3179699.0859603183, 4231938.226683054 3179480.8658089186, 4231689.153018698 3179315.0274705347, 4232464.175402721 3177414.126027548, 4232705.703126545 3177190.5863764333, 4232611.469324795 3177153.8459106376, 4232643.992912119 3176991.239664061, 4232767.97309051 3177020.6547010974, 4232877.748005974 3176864.265079603, 4233113.501141573 3176591.6659099897, 4232422.123611402 3176487.435673231, 4232053.0634237565 3176846.493207964, 4231981.070196628 3174721.990757327, 4230443.743091693 3174744.0353239323, 4228962.275395491 3174313.7684822204, 4228981.337108979 3174801.2350414814, 4228768.903837012 3174784.129808215, 4228803.188706935 3174961.826649562, 4229040.70330753 3175029.54488643, 4229069.546371893 3175274.8352399673, 4228962.951319554 3175995.1608858565, 4228951.28813159 3176140.004365963, 4229001.775816728 3176357.8848636737, 4229012.860935745 3176582.3121316927, 4228970.673438296 3176744.1367535014, 4228821.940745734 3176780.7546789646, 4228653.895318167 3176815.8170616953, 4228698.288874319 3176867.986740848, 4228742.682493246 3176920.156442631, 4228711.577924301 3177306.410947444, 4228752.083664774 3177406.8630108605, 4228908.466511367 3177516.646559905, 4228931.214953442 3177596.230801991, 4228917.995611224 3177760.390366178, 4228902.443276559 3177953.5197307034, 4228888.446020648 3178127.3365891958, 4228847.811970512 3178269.8513687984, 4228795.641145534 3178314.2457628907, 4228840.23212816 3178726.0422251667))",POINT (4230600.699862956 3177291.2599278623)
SOUTHEAST,BROMMA,154,APR 1712,MAY 1712,?,"POLYGON ((4231996.04937005 3179728.504239913, 4232042.001706574 3179761.3610786153, 4232014.797101607 3180099.351045349, 4232069.181533916 3180268.959156463, 4232109.693275016 3180369.4146596347, 4232261.754478783 3180653.7998940423, 4232261.636606667 3180896.7788776113, 4232505.393267865 3180887.2394009866, 4232607.403887701 3180827.412771452, 4232852.7148629995 3180798.5580618773, 4232992.129659361 3180877.814923251, 4233378.410594861 3180908.9010519246, 4233418.924523472 3181009.357105488, 4233565.334492166 3181001.69974262, 4234063.9490946 3181207.0550694717, 4234351.331143705 3181259.3372281203, 4234386.407594464 3181427.393438634, 4234718.191900794 3181531.8453097306, 4235037.981280119 3180818.881306391, 4235217.246892549 3180765.265761676, 4235441.355361969 3180637.5005564373, 4235663.468018809 3180655.3675904097, 4235814.53856156 3180589.762996956, 4235938.191205739 3180502.513646723, 4236023.215334636 3180412.157120802, 4236028.652620166 3180344.557738774, 4235872.691569887 3180108.4643313326, 4235800.978188894 3179791.6729674335, 4235719.944018243 3179590.7662240095, 4235501.8245663885 3179281.639331704, 4235025.837746196 3177707.7074453356, 4234737.691761723 3177665.0896666734, 4234610.601698158 3177674.304006324, 4234532.905990586 3177794.4024708187, 4234403.485080737 3177832.586390003, 4234410.702226984 3178105.304021898, 4234349.211418192 3178265.5835136306, 4234209.6895083655 3178429.304593081, 4234089.9240496205 3178468.2649827558, 4233918.433879004 3178425.3095447063, 4233862.380510106 3178517.991935683, 4233674.685036476 3178434.8550525103, 4233624.9592036195 3178207.311986496, 4233429.494616084 3178220.741741102, 4233251.789285783 3178255.0384040102, 4233269.103528528 3178402.219847567, 4232977.848739942 3178398.220993073, 4232903.920785539 3178713.0067232964, 4232266.227731963 3179390.633451254, 4232055.992434545 3179587.538270102, 4231938.226683054 3179480.8658089186, 4231872.065247555 3179699.0859603183, 4231895.594707363 3179769.015594636, 4231996.04937005 3179728.504239913))",POINT (4234027.027249504 3179705.7627846766)
SOUTHEAST,HEDESKOGA,148,SEP 1712,OCT 1712,5,"POLYGON ((4233181.208405356 3176354.1400631, 4233118.055184642 3175931.1453313683, 4232453.663544339 3175129.3340392923, 4232233.684619894 3174722.8825157746, 4231981.070196628 3174721.990757327, 4232053.0634237565 3176846.493207964, 4232422.123611402 3176487.435673231, 4233113.501141573 3176591.6659099897, 4232877.748005974 3176864.265079603, 4232767.97309051 3177020.6547010974, 4232643.992912119 3176991.239664061, 4232611.469324795 3177153.8459106376, 4232705.703126545 3177190.5863764333, 4232464.175402721 3177414.126027548, 4231689.153018698 3179315.0274705347, 4231938.226683054 3179480.8658089186, 4232055.992434545 3179587.538270102, 4232266.227731963 3179390.633451254, 4232903.920785539 3178713.0067232964, 4232977.848739942 3178398.220993073, 4233269.103528528 3178402.219847567, 4233251.789285783 3178255.0384040102, 4233429.494616084 3178220.741741102, 4233624.9592036195 3178207.311986496, 4233674.685036476 3178434.8550525103, 4233862.380510106 3178517.991935683, 4233918.433879004 3178425.3095447063, 4234089.9240496205 3178468.2649827558, 4234209.6895083655 3178429.304593081, 4234349.211418192 3178265.5835136306, 4234410.702226984 3178105.304021898, 4234403.485080737 3177832.586390003, 4234532.905990586 3177794.4024708187, 4234610.601698158 3177674.304006324, 4234737.691761723 3177665.0896666734, 4234983.646766364 3177023.97632358, 4234658.76563811 3177075.5944231274, 4233901.780249022 3176820.3140760576, 4233913.43393927 3176675.466611015, 4233600.208785743 3176582.2326333914, 4233181.208405356 3176354.1400631))",POINT (4233060.46303023 3177329.2552913846)
SOUTHEAST,SÖVESTAD,559,OCT 1712,DEC 1712,?,"POLYGON ((4228741.788300788 3181517.301245027, 4228687.928414267 3181823.9909841847, 4228544.821130495 3182152.652684789, 4228533.153766285 3182297.508276147, 4228389.721660899 3182509.508735729, 4228283.228436452 3182986.918766704, 4228190.4133875705 3183173.8384716464, 4228014.572906147 3183305.4712388352, 4227655.515920362 3182936.3534740135, 4227534.04928686 3183237.6015251013, 4227418.027571057 3183471.250263451, 4227539.544839792 3183772.6362005114, 4227560.600308269 3184114.5295257852, 4227545.817757032 3184298.0176673685, 4227594.288846541 3184661.5623628157, 4227729.034558194 3184798.7783529917, 4227456.340900212 3185408.613625541, 4227338.895601059 3185418.5913540185, 4227376.92971113 3185791.021298159, 4228929.910788162 3185818.9271481773, 4229269.672379396 3186186.50170446, 4229310.181734594 3186286.9671228966, 4229368.450717015 3186408.303675111, 4229482.3322260985 3186563.28053025, 4229567.241165501 3186715.924098296, 4229683.133368128 3186725.258169228, 4229764.28397365 3186683.1923359623, 4229851.527123309 3186806.8628370916, 4229765.70944247 3186906.8751029028, 4229737.060029801 3187021.212121766, 4230252.680396663 3187257.1464592074, 4230386.462085941 3187044.3508959073, 4230104.507485547 3186924.440524643, 4230430.920572169 3186250.863717753, 4231574.369300475 3187140.0041180053, 4231537.168945361 3187360.5789312487, 4231951.351555763 3187287.0007203436, 4232415.499074603 3186954.990924762, 4232481.099673595 3187106.078077568, 4232749.6357159205 3187030.490721328, 4232871.091096787 3186729.2146069966, 4232823.369952604 3186355.999970657, 4232972.241780669 3186076.3738878234, 4233163.747356958 3185508.573089895, 4233271.983333361 3185371.4815755533, 4233517.310528631 3185342.6254147734, 4234109.981470266 3185225.078827278, 4234258.731893457 3185188.4481474026, 4234419.026131718 3185249.947901408, 4234595.1952942535 3185234.9631972006, 4234708.755909015 3185273.261468606, 4234909.6800324 3185192.2265029782, 4235138.022677079 3185132.8374177427, 4235238.4844294 3185092.319397468, 4235232.822029997 3184800.2590877092, 4235324.068976752 3184632.6380945244, 4235215.614351583 3184410.070233749, 4235254.687988345 3184286.8529291367, 4235285.767327253 3183900.5518092182, 4235614.23076958 3183683.976835654, 4235756.762338242 3183724.6030164133, 4235770.746562565 3183550.768315785, 4235477.246434529 3183332.758041557, 4235479.351132572 3182944.1310182367, 4235674.159961262 3182697.3662844184, 4235330.488614689 3182378.1243333095, 4235060.193640497 3182113.3845113637, 4235120.133919613 3181972.4105118015, 4235220.590878015 3181931.893565207, 4235120.242652696 3181729.4261329006, 4234718.191900794 3181531.8453097306, 4234386.407594464 3181427.393438634, 4234351.331143705 3181259.3372281203, 4234063.9490946 3181207.0550694717, 4233565.334492166 3181001.69974262, 4233418.924523472 3181009.357105488, 4233378.410594861 3180908.9010519246, 4232992.129659361 3180877.814923251, 4232852.7148629995 3180798.5580618773, 4232607.403887701 3180827.412771452, 4232505.393267865 3180887.2394009866, 4232261.636606667 3180896.7788776113, 4232261.754478783 3180653.7998940423, 4232109.693275016 3180369.4146596347, 4231742.28243065 3180466.194297057, 4231688.556481978 3180529.906063677, 4231541.370616989 3180547.2165653333, 4231028.121523653 3180282.3514803723, 4230806.013731297 3180264.4704701924, 4230755.519737151 3180046.5777972615, 4230640.08806802 3179910.9322915496, 4230524.2064740965 3179901.602687684, 4230390.893220512 3179988.0634070444, 4230145.585628842 3180016.9096137756, 4229826.259586718 3179757.9328302415, 4229729.69208271 3179750.1571390834, 4229627.681495862 3179809.978573897, 4229528.781179717 3179831.172854901, 4229409.012083085 3179870.1252602823, 4229323.981725541 3179960.4718153263, 4229030.586724584 3180345.0598385218, 4228970.508187698 3180728.999915653, 4228927.862835451 3181017.1506563616, 4228931.622005842 3181211.844207374, 4228741.788300788 3181517.301245027))",POINT (4231399.4296238115 3183547.977622934)
SOUTHEAST,TRANÅS,339,DEC 1712,SEP 1713,127,"POLYGON ((4245163.417001232 3193919.6642301003, 4244977.993131689 3193807.553061488, 4244757.731451872 3193887.072867159, 4244667.265650279 3194045.070808222, 4244522.377845795 3194033.43021696, 4244303.667262772 3194093.6302773394, 4244210.9558968805 3194037.5734992945, 4243915.747912878 3194081.904330371, 4243773.188847584 3194041.2846737695, 4243146.896708542 3193971.513731381, 4242890.669352755 3194135.630997013, 4242616.331847263 3194162.1904298128, 4242467.563095409 3194198.8412506757, 4242483.089759054 3194005.6586379986, 4242320.437560157 3193973.142638814, 4242098.278240676 3193955.2862369306, 4241863.012260265 3193858.6036606655, 4241698.808042703 3193845.4045096934, 4241411.365599967 3193793.133803644, 4241339.528550943 3193719.308683708, 4241105.817780654 3193603.306105731, 4240866.672134877 3193554.9160456043, 4240625.197237347 3193535.502218718, 4240489.534736362 3193650.9736533696, 4240505.309688734 3193817.5067067184, 4240506.766001669 3194041.217897381, 4240628.354225959 3194342.639317938, 4240763.921862115 3194470.197518087, 4240778.920784296 3194646.3917577392, 4240693.881639506 3194736.7705811127, 4240462.401530999 3194834.818362352, 4240257.568378236 3194964.1729365806, 4240320.861915141 3195144.2516979566, 4239811.39308728 3195676.8644804093, 4239537.151233899 3195460.3766341824, 4239368.958727768 3195738.501826976, 4239430.359052535 3195821.2136064842, 4239446.131107847 3195987.751808972, 4239397.73270256 3196226.9040543, 4239710.175218612 3196572.851079379, 4240274.063730182 3196209.8789469106, 4240566.272187567 3195961.164548414, 4241352.125693022 3196102.1208964423, 4241145.20424906 3196620.1862753443, 4241772.880238589 3197156.7432540003, 4241840.061706563 3197288.529480557, 4241787.881317467 3197332.9446058194, 4241702.839465995 3197423.327889197, 4241675.754829332 3197518.3704964705, 4241586.829740285 3197657.0517783402, 4241486.350929646 3197697.583972996, 4241268.403666718 3197748.1159136575, 4241264.520575038 3197796.413907958, 4241354.903731673 3197881.456928334, 4241446.063713428 3197956.840337593, 4241555.766597675 3198043.4365592357, 4241625.2779744975 3198146.245769834, 4241725.757428337 3198105.7131933924, 4241828.56643046 3198036.2015096387, 4242106.460361741 3197844.6555381403, 4242422.89911719 3197899.258411846, 4242622.303701091 3197837.510133467, 4242817.049580155 3197833.7191993603, 4243023.351065318 3197928.0771671752, 4243207.228370444 3198059.5208112947, 4243272.86071018 3198210.627346432, 4243314.859170003 3198534.8334952192, 4243635.704824033 3198171.7333970517, 4243919.805445083 3197902.9014348025, 4244089.885275524 3197722.1274325917, 4244317.922173004 3197546.010507232, 4244495.676982296 3197511.6833324656, 4244839.198256435 3197471.2304771263, 4245150.636072304 3197467.08638528, 4245418.779107058 3197517.7949117506, 4245585.321983714 3197502.008206909, 4245743.40926362 3197349.4334363937, 4245797.915477121 3197276.0359099293, 4245859.405235155 3197115.701468627, 4245952.2013856135 3196928.716244315, 4246044.99697923 3196741.73133094, 4246010.665638015 3196563.9790129545, 4245931.140359162 3196343.70932772, 4245871.710457533 3196115.332668839, 4245867.909968267 3195920.590780647, 4245813.484359143 3195750.9482255117, 4245736.208684305 3195744.7407842358, 4245602.956145006 3195588.2099452307, 4245518.001231015 3195435.5590855405, 4245483.671453812 3195257.8101491285, 4245528.168546779 3195066.950547209, 4245512.381515473 3194900.4138022265, 4245572.317149033 3194759.4035542943, 4245611.382071963 3194636.1602783524, 4245478.131624528 3194479.6320500528, 4245468.124256872 3194362.168958087, 4245377.73921623 3194277.1355859386, 4245302.017173908 3194251.6095474437, 4245292.786031896 3194124.487640385, 4245302.097355743 3194008.577060479, 4245163.417001232 3193919.6642301003))",POINT (4243042.075002126 3195815.685736649)
SOUTHEAST,YSTAD,1782,JUN 1712,DEC 1712,740,"POLYGON ((4240506.247557897 3176029.5812564003, 4238053.5741254715 3175589.468352496, 4235692.144724559 3174136.1469319663, 4234141.061584048 3174691.6943350625, 4232233.684619894 3174722.8825157746, 4232453.663544339 3175129.3340392923, 4233118.055184642 3175931.1453313683, 4233181.208405356 3176354.1400631, 4233600.208785743 3176582.2326333914, 4233913.43393927 3176675.466611015, 4233901.780249022 3176820.3140760576, 4234658.76563811 3177075.5944231274, 4234983.646766364 3177023.97632358, 4235833.322971535 3177335.2970204093, 4235953.08598405 3177296.3338324055, 4236447.432324579 3176587.7231190237, 4237194.969717979 3176356.2650137586, 4237480.784459405 3176427.8412043084, 4238655.349732376 3176687.4951548064, 4239012.646035569 3176716.216658844, 4239391.242341774 3176600.862524934, 4239779.837544603 3176602.9386641444, 4240049.881025919 3176508.013488709, 4240233.701739983 3176639.4152947557, 4240565.56530971 3176500.860981575, 4240623.936901196 3176379.204180588, 4240633.248975841 3176263.3241651626, 4240666.530246444 3176091.0564705394, 4240651.096949974 3176041.221307379, 4240527.112824586 3176011.8200298063, 4240506.247557897 3176029.5812564003))",POINT (4235880.810923543 3175774.141675906)
SOUTHEAST,ÖJA,156,JUN 1712,MAR 1713,40,"POLYGON ((4236218.454418454 3180039.080157111, 4236359.529570177 3179856.0372064034, 4236409.910819435 3179471.311723616, 4236510.466075101 3179187.8171399, 4236622.567851028 3179002.4455024134, 4236614.566103633 3178739.3800495565, 4236769.615887066 3178382.5161959496, 4236954.748876346 3178134.9843109404, 4236997.697082078 3177963.49199208, 4237107.366028229 3178050.0646247473, 4237163.415157222 3177957.379504417, 4237480.784459405 3176427.8412043084, 4237194.969717979 3176356.2650137586, 4236447.432324579 3176587.7231190237, 4235953.08598405 3177296.3338324055, 4235833.322971535 3177335.2970204093, 4234983.646766364 3177023.97632358, 4234737.691761723 3177665.0896666734, 4235025.837746196 3177707.7074453356, 4235501.8245663885 3179281.639331704, 4235719.944018243 3179590.7662240095, 4235800.978188894 3179791.6729674335, 4235872.691569887 3180108.4643313326, 4236028.652620166 3180344.557738774, 4236218.454418454 3180039.080157111))",POINT (4236171.52874792 3178038.800015468)
