LANGENNMN;GEOIDNMN;AR;BEF_TOT;BEF_GENTOT;G_NAME;GET_END_YE;geometry
MALMÖHUS LÄN;ALLERUM;1783;1498;1497;ALLERUMS;9999.0;POLYGON ((4165518.7919148984 3244337.7474437733, 4165594.5177408843 3244363.3910035747, 4164896.909790993 3243139.0733204354, 4164723.394348734 3242881.706798431, 4164680.98054309 3243043.6067350646, 4164666.7654374912 3243217.5391368084, 4164622.3995323363 3243165.275862969, 4164328.5635583866 3243189.8975739367, 4163788.2834288725 3242659.366589023, 4163796.181774303 3242562.7387449546, 4163553.032859633 3242562.3180394215, 4163247.1127753505 3243091.769954553, 4163169.3868206446 3243328.601322446, 4162849.9054515646 3243428.938633113, 4162778.922875884 3243345.315628004, 4162017.502934525 3243497.0609143903, 4161880.462407487 3243388.5803873804, 4161897.8459575456 3243175.999152733, 4161722.335920416 3243181.10165895, 4161641.9411601764 3242736.797032222, 4161386.150451957 3242890.9706518524, 4160996.482105866 3242898.0115290177, 4160667.772793037 3242754.399238024, 4160679.627502059 3242609.459860264, 4160343.629211556 3242436.069103205, 4158857.3461452634 3244551.767249201, 4157393.8275404223 3245793.850554365, 4155623.0363925225 3248411.571071757, 4155977.744411369 3248713.0063944245, 4156313.994750238 3247933.1146192667, 4156686.2807118716 3248138.7025203607, 4156501.768884586 3248609.997259832, 4156880.389156408 3248738.2807943327, 4157504.1001894013 3249081.1923818192, 4158604.048428385 3249667.3794398364, 4158868.920246649 3249640.418399701, 4158973.4657711834 3249551.6921475893, 4159296.3189201765 3249529.474824132, 4159487.63775594 3250401.232680834, 4159762.7948513483 3250248.6395286582, 4160245.63393241 3250054.6696143025, 4160115.6224692976 3249265.7605951796, 4161644.0609268094 3249371.355476021, 4161531.612877299 3249556.7243465376, 4161566.4920367124 3249724.9607559643, 4162139.0260439944 3249742.61007174, 4162344.1585432105 3249613.4624189725, 4162692.666150921 3249515.497496297, 4163393.9920513956 3249504.754140723, 4163790.0277968138 3249420.3976720646, 4164470.4477689555 3249427.388970886, 4165153.293348794 3248928.691823436, 4165317.4950803453 3247871.998771815, 4165671.138560544 3245449.4344983003, 4165747.094012507 3245115.1675725323, 4165530.4086709497 3244552.705920249, 4165518.7919148984 3244337.7474437733))
MALMÖHUS LÄN;ALSEDA;1795;252;252;;;
MALMÖHUS LÄN;ANDERSLÖV;1749;629;629;ANDERSLÖVS;9999.0;POLYGON ((4204085.73955019 3178127.746020792, 4204337.279423585 3178021.74728123, 4204720.947547151 3178324.8995984336, 4204826.948699301 3178576.4406219153, 4205445.116891582 3178383.460776342, 4205422.604133735 3178060.922460983, 4205133.0683321385 3177434.9534362955, 4205186.159469706 3176778.3841765337, 4205213.6119581545 3175837.914023716, 4205381.860856601 3175559.966657499, 4205347.636544185 3175382.2693981878, 4205407.622228923 3175241.344615913, 4205363.372845489 3174586.6433934937, 4205311.892454359 3174261.7808004357, 4205288.59662775 3173948.9165755184, 4205207.863622609 3173505.0750960866, 4205126.387488493 3172108.818763875, 4204600.840510782 3171998.303945494, 4204421.591097324 3172051.8358954256, 4203810.50765911 3172157.909596322, 4203387.547714897 3172220.8845883245, 4203048.071765403 3172212.866040261, 4202482.066574818 3172001.8855530294, 4202616.80625143 3172498.6752039, 4202385.377073445 3172596.5708589777, 4202049.024494002 3172549.9283458022, 4202013.880436847 3172984.390696582, 4201805.014776615 3173764.368463899, 4201570.738006227 3174017.520710498, 4200941.6107492 3173986.056580493, 4200702.523757772 3173577.99144251, 4200525.27330962 3173126.3421915323, 4200148.460705313 3172979.2373857526, 4199997.225338996 3173647.2540987493, 4199976.575656737 3175103.293543546, 4201149.233331406 3175023.2572384607, 4201144.003841247 3176529.169201377, 4200942.363710066 3176979.337165184, 4200907.204285254 3177413.8237837614, 4200893.196259868 3177947.2105116313, 4200702.433417346 3177902.617070462, 4200488.174804644 3177788.091726213, 4200298.97574178 3177724.1868567048, 4200151.801979744 3177741.4311900395, 4199897.134560828 3177886.034603881, 4200267.718222249 3178110.399899062, 4200539.631026556 3178112.9692381644, 4201070.509744548 3178758.488646313, 4201044.7242504535 3179077.1199485245, 4201374.854053921 3179201.0231300476, 4201883.414035267 3178921.4557851506, 4202370.03477553 3178552.6417804984, 4203001.548933511 3178555.1386109553, 4203685.247315765 3178513.257107512, 4203815.385247508 3178105.8792300792, 4204085.73955019 3178127.746020792))
KRISTIANSTADS LÄN;ANDRARUM;1749;1454;1454;ANDRARUMS;9999.0;POLYGON ((4238250.249027311 3208074.00276449, 4238293.112135405 3208145.5162976766, 4238342.859318493 3208373.160301059, 4238439.689685233 3208740.7238185997, 4238850.229164001 3209318.280648393, 4238916.302495707 3209343.044242479, 4239184.482841608 3209393.7923023887, 4239273.321691879 3209498.1768592475, 4239232.678856195 3209640.762852477, 4239079.987823851 3209725.7153469375, 4238979.489158201 3209766.2481618198, 4238999.144835467 3209884.5147647657, 4240568.29797558 3211410.991221347, 4240859.8231043955 3212017.883916643, 4241253.978208979 3213041.4533529812, 4241528.392671809 3213014.903167186, 4241750.275805952 3212916.0573501117, 4241916.518972025 3212783.563603967, 4241978.813610294 3212613.5375993806, 4242005.906929727 3212518.474527145, 4242083.200518126 3212524.690386004, 4242192.925251833 3212611.307714903, 4242268.665086781 3212636.8468296705, 4242420.583352828 3212561.5454658545, 4242519.531283362 3212540.3295350405, 4242679.994887849 3212358.7488827202, 4242782.049963613 3212298.8857986033, 4242929.305910203 3212281.5536046987, 4243023.592348339 3212318.3071225057, 4243249.598866542 3212530.962135096, 4243338.448278384 3212635.347684621, 4243485.705003107 3212618.014260637, 4243561.104998586 3212526.8341198154, 4243604.848641518 3212345.591390129, 4243779.195455579 3212233.1936065773, 4244095.70214127 3212287.809997414, 4244384.000943099 3212330.433336704, 4244453.186433232 3212316.5463002655, 4244395.742917378 3211942.4112744024, 4244337.865260582 3211694.6564035118, 4244306.642885144 3211478.217202871, 4244071.315757925 3211381.508257643, 4243907.06861958 3211368.304893047, 4243758.261266318 3211404.9625020563, 4243742.4804385025 3211238.3854794567, 4243897.500816737 3211124.4354233476, 4243980.22992295 3211063.0178595027, 4243930.462361331 3210835.3658912964, 4243961.435210558 3210691.996549721, 4243907.007902961 3210522.3146961336, 4243888.120001308 3210394.3856902774, 4243828.256432378 3210292.334630831, 4243666.000811232 3210133.4332509474, 4243637.110698071 3209888.0150376884, 4243647.301289824 3209519.3304126146, 4243670.600870907 3209229.4913043915, 4243712.78757796 3209067.5795933157, 4243695.453346341 3208920.330925164, 4243635.591095815 3208818.2821532553, 4243516.208483425 3208730.896034364, 4243456.346655036 3208628.847451451, 4243456.440663932 3208385.764788235, 4243485.082715354 3208271.384289071, 4243620.773654663 3208155.885730255, 4243359.676158821 3207775.126120425, 4243622.94786741 3207524.0321643325, 4243851.022120091 3207347.8963095113, 4244028.026698364 3207323.230092915, 4244254.112840955 3207292.784908991, 4244320.187038772 3207317.542459745, 4244440.181276768 3206792.3994084233, 4244451.828145737 3206647.4851222844, 4244436.045068348 3206480.9199464116, 4244443.809566317 3206384.3108298793, 4244386.277165048 3206253.284049566, 4244776.682835724 3205992.9618403194, 4244733.813307913 3205921.453907279, 4244693.2730505485 3205820.9635292133, 4244566.129456144 3205830.191941412, 4244442.435232629 3205917.4832118303, 4244295.193364718 3205934.8190671615, 4244158.045617664 3205826.563858098, 4244040.996398934 3205710.2007779097, 4243880.645469077 3205648.6964334105, 4243789.473288774 3205573.3059033807, 4243722.281952778 3205441.5038901325, 4243614.118355495 3205335.578179236, 4243554.166593595 3205476.606588753, 4243507.415966836 3205453.402357907, 4243490.0820137495 3205306.161705714, 4243335.945209419 3205167.3709986177, 4243173.701541235 3205008.4823863455, 4243109.9598284485 3204954.7429460785, 4242644.790398328 3204693.7173637673, 4242878.386373895 3204206.899704973, 4242739.632307929 3203272.068925572, 4242204.331127243 3203520.720162892, 4241884.177698433 3203028.28396196, 4241826.65246654 3202897.262597238, 4241681.747574197 3202885.6118689543, 4241517.182787764 3202755.706883477, 4241326.307191725 3202711.1908621658, 4241233.58824989 3202655.121692629, 4241069.363613932 3202641.916230982, 4240910.476739657 3202804.149020444, 4240118.905367241 3203216.906326569, 4240010.647625438 3203354.04161265, 4239714.621646972 3203408.0144079076, 4239554.17586109 3203589.5658216896, 4239399.945788834 3203693.834253858, 4239131.010027133 3203652.7550256434, 4239314.89205971 3203784.221317137, 4239554.070337366 3203832.629224258, 4239696.875808209 3204233.0329257837, 4239614.152821322 3204294.4396625515, 4239225.296587528 3204535.4032148267, 4238962.909600262 3204533.7413224773, 4238853.092942042 3204690.1977311485, 4238593.704916062 3204892.95908588, 4238477.668815099 3205126.699752609, 4238419.928581286 3205481.8086912585, 4238282.681722123 3205616.6129158447, 4238276.463371233 3205693.8977455273, 4238106.679997338 3205991.3781306082, 4237606.545555342 3206165.04404229, 4237455.53077099 3205987.5971642225, 4237343.375806104 3206173.0355326757, 4237283.410798294 3206314.0581038776, 4237291.0702688005 3206460.5231311093, 4237350.920526449 3206562.572261183, 4237460.960806767 3206765.8934619813, 4237570.887206911 3207212.2896527722, 4237524.800819421 3207422.4952087933, 4237545.8938573515 3207764.512375987, 4237709.3513533315 3207787.3900138005, 4237782.751260986 3207841.91399579, 4237890.907794931 3207947.8522181916, 4238126.988996747 3208034.9139270303, 4238250.249027311 3208074.00276449))
MALMÖHUS LÄN;ANNELÖV;1775;394;393;ANNELÖVS;9999.0;POLYGON ((4184201.6706185783 3215224.858483848, 4184161.2258639364 3215124.33389833, 4184081.5916628377 3215147.0298733595, 4183911.877974154 3215201.2958222344, 4183720.254106808 3215166.2672323603, 4183577.7146600396 3215125.5058848937, 4183430.4624174093 3215142.7025708267, 4183329.9376838454 3215183.145982069, 4183247.161212017 3215244.4797561285, 4183191.0071174074 3215337.1492969105, 4183076.6615292984 3215308.403112992, 4182953.4419616493 3215269.2114710887, 4182615.3524962272 3215241.7151962807, 4182580.320316621 3215433.3379966426, 4182252.9074153523 3215513.6676938874, 4182270.978297077 3215291.494666275, 4182104.406714076 3215307.1168661653, 4182021.62929688 3215368.4488817635, 4181855.0576134766 3215384.0704018394, 4181700.7333314484 3215488.2001058697, 4181625.0274861646 3215462.5945048495, 4181507.5398585587 3215472.484318525, 4181321.878457635 3215603.234687943, 4181205.6352832895 3215836.8685262455, 4181135.6597341103 3215860.346558132, 4181105.1088593444 3215877.308339083, 4181145.5486268364 3215977.8349107183, 4181212.6100788782 3216109.698511343, 4181368.9672671165 3216219.655866668, 4181264.5108438977 3216308.3949212953, 4181235.760665698 3216422.740589596, 4181092.435672695 3216391.6325334706, 4181090.863855002 3216410.952100955, 4181358.6530559333 3216705.003783664, 4181354.723622797 3216753.3030050592, 4180848.0514210383 3217363.5757522495, 4180777.413092906 3217873.1948819687, 4181963.6967953616 3218232.2596012154, 4183288.5253902418 3219040.1616169047, 4183303.0405815104 3219459.4833836127, 4184314.322097042 3219220.829192192, 4185226.089590298 3219129.655428944, 4185329.056118589 3218700.4375386587, 4185495.9515768555 3218441.7297067465, 4185749.6271609045 3217713.597334904, 4186009.5039926856 3217267.9701274056, 4185936.1490816195 3217213.3874733746, 4185993.8725986998 3217101.392109446, 4185955.7800663705 3216971.8844754007, 4185888.1593753695 3216966.3878167747, 4185835.932649269 3217010.7620880674, 4185692.6017474104 3216979.662978229, 4185480.628724918 3216836.020492003, 4185229.2312962366 3216698.896605089, 4185094.5403992473 3216561.536445393, 4184974.457919085 3216483.7070184387, 4184831.9143522447 3216442.946680208, 4184772.14833684 3216340.849446528, 4184635.103022565 3216232.4693044764, 4184546.3577351547 3216128.0161615205, 4184399.1028887983 3216145.214793362, 4184277.4513282143 3216086.704761499, 4184220.042797078 3215955.6282476424, 4184229.4679685645 3215839.7098793513, 4184258.998149816 3215715.7027048734, 4184286.1719411523 3215620.675199045, 4184297.9530057637 3215475.777947374, 4184231.905206659 3215450.9605121287, 4184242.115465285 3215325.3832292533, 4184201.6706185783 3215224.858483848))
MALMÖHUS LÄN;ARRIE;1749;182;182;ARRIE;9999.0;POLYGON ((4187185.7377658323 3182794.083201716, 4188296.109697008 3182884.1683781305, 4188795.8437410994 3182953.863464911, 4189224.858533745 3183056.69527504, 4189740.516703747 3183049.9232462957, 4190064.365753361 3183251.1307563265, 4190371.7783778124 3183295.4990536277, 4190432.5884638773 3182785.3201817456, 4190467.8188688215 3182710.4249083265, 4190552.632639869 3182503.484436083, 4190864.4806308285 3182013.6661923737, 4191011.660967583 3181996.44302109, 4190844.6482458836 3181419.2062834497, 4189921.9146795725 3181052.820836051, 4189603.291050595 3181026.982122144, 4189390.875637599 3181009.755549139, 4188782.5966427648 3180960.4215286737, 4188133.3496002415 3180936.915205219, 4187920.3944974476 3181405.5769944694, 4187366.1310398653 3181409.2052914565, 4186875.263149924 3181709.535722866, 4186833.233459208 3181987.970670832, 4186948.5673149573 3182123.6736469814, 4187068.327292025 3182444.3945819745, 4187185.7377658323 3182794.083201716))
MALMÖHUS LÄN;ASK;1820;706;706;;;
MALMÖHUS LÄN;ASMUNDTORP;1749;500;495;ASMUNDTORPS;9999.0;POLYGON ((4176538.374460621 3223119.5485272976, 4177286.5200273036 3222888.7459544055, 4177433.001684179 3222881.22650504, 4177391.172423897 3223753.0416426947, 4177197.6092944825 3223980.395700503, 4177154.681915792 3224268.6434278702, 4177109.829033626 3224819.307587702, 4177418.056652881 3225213.961321726, 4177493.201502311 3225365.956777937, 4177920.2043240843 3225138.1597013627, 4178012.7504222393 3225554.1474941745, 4178437.2666634293 3225715.145760104, 4178680.3655639477 3225715.492255426, 4179135.442085734 3225859.52505668, 4179823.516649031 3225769.6716012126, 4179827.7910159165 3225478.266447927, 4180318.708708522 3225420.981140415, 4180389.034676691 3225154.4041565084, 4180186.832409776 3224651.693744995, 4180560.015464012 3224487.572371679, 4180548.5574484724 3224389.3903041137, 4180971.615617644 3224209.8766404646, 4180858.154772094 3223811.6465971093, 4181244.589272776 3223843.0978291677, 4181400.8536233446 3224312.8858919553, 4181721.2377442517 3224319.509557008, 4181989.9457520177 3224244.126841115, 4182102.6097872513 3223815.673549931, 4181964.4209529087 3223123.6909423857, 4181477.117418882 3223375.779927355, 4181122.1347810314 3222957.9002573146, 4181805.0084540485 3222692.5555353262, 4181691.5424563023 3222294.3357109255, 4181100.1103914613 3222392.076236308, 4180943.8496004352 3221922.3031212236, 4180944.743300162 3221552.843525483, 4181165.136480181 3221473.5339261447, 4181099.977281713 3221079.252698776, 4180541.578347826 3220771.2508498896, 4179969.818868196 3220627.4726083716, 4179769.0861220644 3220465.269306057, 4179976.4452279853 3220307.1095233527, 4180082.4831604254 3220199.0485693547, 4180115.955962557 3220026.7361115813, 4180056.1965215313 3219924.629956828, 4179984.418299558 3219850.718401083, 4179831.652309812 3219935.5269217747, 4179682.817442558 3219972.033912219, 4179369.7586900047 3219995.1730065546, 4179566.4441058063 3220565.466650699, 4179481.2981264526 3220655.779068606, 4179281.8007707563 3220717.3342483905, 4179204.7417606856 3220827.7534204223, 4179055.9047290008 3220864.2588676843, 4178939.6402781345 3221097.9031095584, 4178673.082949253 3221027.580136016, 4178555.705515653 3220677.6720048087, 4178702.182680913 3220670.1486255825, 4178531.340158793 3220140.853472664, 4178351.1647456526 3220203.9784082314, 4178171.210958974 3220383.811849677, 4177925.429011538 3220655.5279896227, 4178054.478798742 3221220.323013259, 4177775.336797881 3221304.5615140274, 4177348.489504504 3221172.5585510447, 4177185.178714783 3220789.734835617, 4177154.184908518 3220573.276742867, 4176732.722327843 3220733.438227584, 4176659.2445514 3221038.631292882, 4176438.6329442733 3221001.2144290567, 4176233.9767182274 3220887.3021560656, 4176170.858420901 3220707.124226604, 4175981.589638132 3220643.086417841, 4175797.8295607436 3220511.427369153, 4175857.4471491645 3220973.323402736, 4175967.2918559248 3221176.7571390485, 4176007.7240688056 3221277.293906986, 4176043.869942968 3221669.212937985, 4176101.479738528 3221917.0161482203, 4176290.4005543147 3222224.1389918984, 4176538.374460621 3223119.5485272976))
KRISTIANSTADS LÄN;AUSÅS;1749;657;657;AUSÅS;9999.0;POLYGON ((4175523.294289146 3249055.5916260686, 4175311.262835873 3248911.8219401534, 4175069.654234018 3248892.1115254387, 4174783.6668001264 3248820.1362489047, 4174801.642480286 3249434.510400306, 4174899.6824756516 3249783.0162927452, 4174753.138508397 3249790.5174558936, 4174644.848502436 3249567.6488368767, 4173603.2721731793 3249813.4336666893, 4173229.5236449745 3250220.726766122, 4172853.406487436 3251133.730293208, 4172916.5231245593 3251314.003995211, 4172309.2227908913 3252675.146813388, 4174107.2898756107 3253532.160208503, 4174056.4064637288 3253917.184010892, 4173677.300888647 3254032.1825489146, 4173504.71195546 3254358.626511703, 4173354.212607329 3254414.447722503, 4173179.253502565 3254769.8875958757, 4173449.088856202 3255278.3962188135, 4173468.6164623327 3255396.746332807, 4173871.7978314115 3255702.0903346147, 4174045.3809602535 3255959.5035083173, 4173805.1278505507 3256280.4350234256, 4174360.9937135796 3256860.953131709, 4174603.023961841 3256637.460185287, 4174796.30811906 3255222.9554093117, 4175494.561742161 3254773.99419123, 4175734.616416913 3254813.0409816704, 4176154.9768792074 3255265.715103337, 4176361.1261094436 3255720.3737210413, 4176465.28319232 3255874.818792059, 4176749.3220834928 3255732.584749406, 4176906.1317826356 3255599.4301334852, 4178460.7526300903 3253955.426109776, 4178592.8716734787 3253528.370693424, 4178666.0450745653 3253466.2308850572, 4178625.9722677767 3253122.432184903, 4178686.1193976034 3252981.3951916774, 4178263.7984817284 3252791.288268248, 4178223.354395734 3252690.696646501, 4178211.905608452 3252592.46960531, 4178221.3631809987 3252476.4888829337, 4178309.0936868135 3251997.178604436, 4177896.6118769404 3251447.8963012244, 4177976.0876836744 3251308.440114907, 4177981.6044193907 3251240.7861436387, 4178015.492289329 3250825.1990290196, 4177944.270946349 3250624.8109706356, 4177903.8280334566 3250524.2231576554, 4177923.529826151 3250282.6052826643, 4177701.242007562 3250264.479422286, 4177539.306885436 3250222.08754142, 4177519.770344568 3250103.747280632, 4177471.8208365287 3249856.6147568882, 4177412.6307034013 3249628.0243110396, 4177310.0540148006 3249454.269522811, 4177156.002785254 3249315.232575685, 4176979.6772746774 3249330.0394243663, 4176811.439913908 3249364.9629356423, 4176618.1500890846 3249349.198846499, 4176477.912313463 3249279.388555863, 4176241.4407585235 3249435.2191518336, 4176166.8680419517 3249156.7315204786, 4175888.760101433 3248988.116415442, 4175716.582103833 3249071.358796936, 4175523.294289146 3249055.5916260686))
MALMÖHUS LÄN;BALDRINGE;1749;334;334;BALDRINGE;9999.0;POLYGON ((4233715.236224047 3189888.314323887, 4233917.612234976 3190030.974304662, 4233962.228986998 3190442.842596013, 4233998.860065576 3190591.60483482, 4234172.593470811 3190848.6119617186, 4234561.0471019205 3190491.037624413, 4235256.564170345 3190303.985714142, 4235748.920079012 3189983.9301003935, 4236038.447291592 3189647.553581717, 4236227.722082936 3188865.6780046974, 4236332.074168759 3188776.8660470583, 4236484.824874717 3188448.930551709, 4236685.864545896 3188124.880682986, 4236846.274496055 3187943.372152427, 4237051.089673257 3187814.0383814997, 4237286.977266275 3187298.381893237, 4237541.736807334 3186910.611846602, 4237669.38667424 3186532.0609113714, 4237781.500552793 3186346.6696537314, 4237864.977555206 3186275.6200465267, 4237633.627541268 3186130.649391701, 4237452.121335657 3185970.2464983608, 4237062.02790954 3185744.4652836714, 4236823.709821683 3186532.084882596, 4236588.477342041 3186435.399919492, 4236202.162198275 3186404.3235002398, 4236047.301936619 3186275.2211148334, 4236020.767393994 3186000.917113786, 4235964.482624533 3185733.9411499067, 4235794.63623162 3185428.6696192967, 4235777.425854231 3185038.4768735277, 4235489.802190023 3184626.5316005275, 4235324.068976752 3184632.6380945244, 4235232.822029997 3184800.2590877092, 4235238.4844294 3185092.319397468, 4235138.022677079 3185132.8374177427, 4234909.6800324 3185192.2265029782, 4234708.755909015 3185273.261468606, 4234595.1952942535 3185234.9631972006, 4234419.026131718 3185249.947901408, 4234258.731893457 3185188.4481474026, 4234109.981470266 3185225.078827278, 4233517.310528631 3185342.6254147734, 4233271.983333361 3185371.4815755533, 4233163.747356958 3185508.573089895, 4232972.241780669 3186076.3738878234, 4232823.369952604 3186355.999970657, 4232871.091096787 3186729.2146069966, 4232749.6357159205 3187030.490721328, 4232481.099673595 3187106.078077568, 4232415.499074603 3186954.990924762, 4231951.351555763 3187287.0007203436, 4231537.168945361 3187360.5789312487, 4231469.31456324 3187841.1396900243, 4231212.313866625 3188014.8566813883, 4231517.103906488 3188817.046124933, 4231943.939966031 3188948.6200029515, 4232098.796196971 3189077.736101089, 4232355.226968362 3189273.354137045, 4233197.818075784 3189312.0223098514, 4233417.623675922 3189358.8777218894, 4233603.0133620715 3189471.00772407, 4233687.934585454 3189623.6548209474, 4233715.236224047 3189888.314323887))
